Tweets	Compound	Analysis
uk government: all pharmacies should to be able to play a part in the uk's covid-19 vaccine programme  via 	0.34	Positive
who doctor: scotland's covid-19 vaccine roll-out 'makes absolute sense' 	0.0	Neutral
covid19 vaccine time 	0.0	Neutral
great to see wonderful black doctors like di getting the vaccine and promoting it to everyone in the community 	0.9153	Positive
if you decline a #covid19 #vaccine when offered, can you still get one later? 	0.0	Neutral
#covid19 #vaccine q &amp; a in #gujarati  _council sunday 24th january at 8pm uk 	0.0	Neutral
saturday good news - both sets of grandparents have now had their first covid-19 vaccine. first time my papa has be… 	0.4404	Positive
"lol, poor old eu""astrazeneca reduces its covid-19 vaccine deliveries to the eu by 60% in the first quarter of 202… "	-0.0772	Negative
when do we get to see the pm's moobs &amp; belly?#vaccine #covid19 	0.0	Neutral
went to have #covid19 #pfizervaccine yesterday at the #hampshire vaccination centre for health &amp; care workers in… 	0.4939	Positive
"scotland's vaccine rollout was ""celebrated"" by alister jack who said it was ""proof"" the union ""offers us a great fu… "	0.6249	Positive
irish pm martin says covid-19 vaccine delays may slow wider roll-out 	0.0	Neutral
"""astrazeneca reduces its covid-19 vaccine deliveries to the eu by 60% in the first quarter of 2021"" "	0.0	Neutral
wow, i received my first dose of #covidvaccine on the one year anniversary of the day china announced human-to-huma… 	0.5859	Positive
astrazeneca reduces its covid-19 vaccine deliveries to the eu by 60% in the first quarter of 2021 	0.0	Neutral
important information on the #coronavirusvaccine 	0.2023	Positive
my nan had her first jab of the coronavirus vaccine today. really overjoyed and relieved. 	0.7818	Positive
about 480,000 uk wide vaccine doses yesterday. 	0.0	Neutral
many people with cancer will be in a priority group for receiving the covid19 vaccine. the vaccines that are curren… 	-0.6597	Negative
only 8% of the population have protection now so if you have the opportunity to have your vaccine then please make s… 	0.6249	Positive
my dad got his first #covid19 vaccine this week. looking forward to being able to see him again soon. a huge thank… 	0.3182	Positive
i'm sorry, but too right. surely make sure your own country has the vaccines it needs and only then see what's left… 	0.7684	Positive
at the age of 104 i would imagine she is one of oldest in the country to have taken the #covid19 vaccinekeep up t… 	0.0	Neutral
leeds imam urges for places of worship to be used as vaccine hubs to inspire 'confidence' in communities 	0.7096	Positive
who’d have thought conservative mp jumping the vaccine queue. 	0.0	Neutral
first dose of the  / _group #covid19 vaccine this evening! thank you 	0.4199	Positive
at 5.50pm on saturday 23 jan 2021.  #covid19 #vaccine 	0.0	Neutral
please sign and share this very on point petition started by ! prioritising vaccines for nursery work… 	0.5848	Positive
the myths of the covid19 vaccine need to be quashed. one 34 year old wants to have children so refused the covid1… 	-0.4341	Negative
johnson-johnson covid-19 vaccine is the first single dose vaccine and it is about to be approved 	0.4215	Positive
"it really took just 2 days to ""create the vaccine""!? 🤯 "	0.3382	Positive
the vaccine will protect you from coronavirus, thou! don’t you want that? your life’s extremely valuable… 	0.4926	Positive
big day today, first covid-19 vaccine but 12 weeks is too long to wait for the next dose, especially in “highly vul… 	0.0	Neutral
britain delivers another 480,000 covid-19 vaccines in a day. just a shame they are not all the jcvi priority groups… 	-0.4767	Negative
is this paid content. reads like an advert for the #vaccine industry. no comment on people's concerns… 	0.0772	Positive
today is tuemonday the thirty ninth of jemberary!! #confused #whatdayisit #vaccine #hurryup #covid19 #madness #positivevibes 	0.0	Neutral
coronavirus: spain to keep a registry of those who refuse covid vaccine they're gradually coming out...we’re not… 	-0.296	Negative
good to see  has issued initial confirmation that the #covid19 vaccines don’t contain live virus so peo… 	0.4404	Positive
and just like that, there’s light at the end of the tunnel #covid19 #vaccineday #covidvaccine #pfizerbiontech… 	0.3612	Positive
bbc news - coronavirus: spain to keep registry of those who refuse covid vaccine 	-0.296	Negative
some more faq’s on the #covid19 vaccine for you #foamed #foamcc #medtwitter something on lateral flow testing s… 	0.0	Neutral
our long read looks at vaccine prioritisation #realcentre 	0.0	Neutral
retired raf sac (senior aircraft man) ken narey, 84, is the first to receive the #covid19 vaccine in south… 	0.0	Neutral
many volunteers for the covid-19 vaccines were medical professionals too. 	0.0	Neutral
had my first #vaccine this morning, barely felt a thing. #covid19 	0.0	Neutral
will the #uk follow spain?#justasking spain will keep registry of people who refuse covid-19 vaccine 	-0.296	Negative
first day back after christmas &amp; straight in for my 1st dose of the #covid19 vaccine   well done to the team… 	0.4588	Positive
tested traditional vaccines might be.#pfizerbiontechunder tested vaccine... i don't know.there ar… 	0.0	Neutral
cheers  whom organised my #covid19 vaccine while i was already at _nhs _uk… 	0.4767	Positive
this is the only way now.  strict lockdown and get the vaccine out there.  prioritise nhs staff.… 	0.0	Neutral
“the existence of a vaccine, even at high efficacy, is no guarantee of eliminating or eradicating an infectious dis… 	-0.0516	Negative
can we assume that you won't want the vaccine or any covid treatment from the nhs or long covid support,… 	-0.0572	Negative
i am in the 5th group and hope to get the vaccine by easter 	0.4404	Positive
i was hopeful the vaccine rollout wouldn’t be bodged but it’s looking that it will be. 	0.2846	Positive
had my first covid vaccine this morning .. didn’t get a photo but it did happen, promise! not even a nip #covid19 #nhs 	0.501	Positive
want to help with covid - 19 vaccinations? see link below to help deliver and support vaccines across ne london … 	0.8126	Positive
pull ya finger out  your vaccine roll out is as slow as the time it takes  to count to 3...#vaccination #covid19 	0.0	Neutral
so that’s the covid vaccine going into the homes just got phone call asking did i want my dad to get it 🤷‍♂️! let’… 	0.1511	Positive
please please dont you start recommending the vaccine.  no one will have it  on your advice leave it to believable… 	0.296	Positive
probably best to take our time, train people well, and administer the vaccines properly. 	0.743	Positive
this is quite stark, and reflected across the country.this new strain clearly must be taken seriously. vaccines a… 	0.2023	Positive
‘a momentous day’: annie lynch (79) first person to get covid-19 vaccine in state 	0.0	Neutral
hmmm, don't like the sound of this.. vaccine passports are go.. gdpr? nope. 	-0.2755	Negative
wonderful to see this happening  #vaccineswork 	0.5719	Positive
i literally live for vaccine news atm despite not knowing any of the people getting it (yet!!!) 	0.0	Neutral
an excellent session  with   and  on the covid vaccine, excellent in… 	0.8126	Positive
a brilliant thread, from a qualified medical practitioner, ref #covid19 #vaccineswork . share with the sceptics and… 	0.6486	Positive
covid-19 vaccine 1 of 2 ✅ #covid19vaccine 	0.0	Neutral
see how #aircargo is essential in getting the #covid19 vaccine to some of the  farthest destinations.  … 	0.0	Neutral
#breaking #vaccination #vaccine 	0.0	Neutral
dad has his appointment for his #covid19 vaccine! happy days! 	0.6467	Positive
booked in to get the covid-19 vaccine tomorrow  ! excited+nervous+overwhelmed mixed emotions ! what a year… 	0.0	Neutral
#yeiks!!#covid #covid19 #covid_19 #newcases #breaking #newstrain #ukstrain #schools #schoolreopening#vaccine… 	0.0	Neutral
received my first dose of the  covid-19 vaccine at _mri this afternoon 🥳 really efficient service from… 	0.4754	Positive
german doctor: covid-19 vaccine ‘could prove to be the biggest mistake’ | opinion | lifesite 	0.0	Neutral
very grateful to have received my 1st vaccine dose today. with the nhs and health service stretched to its limits i… 	0.5095	Positive
spain will keep a register of people who have refused coronavirus vaccine 	-0.296	Negative
#corrupttothecore hope she gets the virus b4 the vaccine works 	0.4404	Positive
surely to stop spreading a virus you’d give a vaccine to people who actually spread it for example: (workers) rathe… 	0.1779	Positive
"why 2 doses? #coronavirusuk #coronavirusvaccine""dr. fauci explains why coronavirus vaccines come in two doses"" "	0.0	Neutral
#kamalaharris receives first dose of moderna's covid-19 vaccine  #harris #vaccination… 	0.0	Neutral
i suspect this will rapidly change when the oxford vaccine is approved.  i hope so anyway. 	0.5423	Positive
i have had the first dose of the covid-19 vaccine, didn’t hurt. please please go and have it if you are called for it! 	0.126	Positive
at last some good news. just waiting for  to finally get some vaccine supplies. it is actually gettin… 	0.4404	Positive
column: don’t blame african americans for fearing the covid-19 vaccine. blame america. 	-0.8176	Negative
slow handclap, depriving a #nhs worker of a vaccine - yeah pat yourself on the back, khalid 🤬 #covidvaccine 	-0.2023	Negative
if you are invited to attend for the vaccine either due to meeting a criteria or being a key worker please accept t… 	0.5994	Positive
coming soon on  you need to know about #travel in 2021 and how #covid19 vaccine w… 	0.0	Neutral
george the 2nd  #covidvaccine 	0.0	Neutral
i work in old age psychiatry and feel my staff and team should be highlighted for vaccine. not sure if the decisi… 	-0.2411	Negative
looks like the nhs coronavirus vaccine website has crashed with the over 56 trying to book o lu get a blank page ! 	0.4199	Positive
#nhs covid-19 vaccine booking system has #crashed 	0.0	Neutral
encouraging vaccine uptake with my dad in hindi/ punjabi #covidvaccine 	0.5267	Positive
and.....no-one seems to be talking about how the majority of the world will not have had any vaccine before we may… 	0.0	Neutral
if the #dalailama isn't afraid, should you be? #covid19 #vaccines 	0.0	Neutral
#publichealth #covid19vaccinefact how #covid19vaccine work in our body . a good story from the #immunologist… 	0.4404	Positive
so many stars literally rolling up their sleeves for covid-19 vaccine - 	0.0	Neutral
schools fully reopening tomorrow, no move to prioritise teachers or support staff with the vaccine.how will school… 	0.0609	Positive
just been online and book my covid-19 vaccine for march 26 &amp; june 11 	0.0	Neutral
covid-19 vaccines booked. i'm not eligible due to having poorly controlled asthma (which results in countless infec… 	0.0	Neutral
covid vaccines booked if your 56 plus get onto  book up you will need your nhs number wh… 	0.0772	Positive
so important that we all go and get our vaccine when called #vaccine #covid19 #covidvaccine 	0.2716	Positive
wow 🤩 very prompt and professional service! happy to say that i just got my first shot of the coronavirus vaccine … 	0.8313	Positive
still no vaccine for most of us though 🤦‍♀️ #vaccinesforasthmatics #asthmaticsatrisk 	-0.296	Negative
ⓢⓚⓨ ⓣⓔⓒⓗ great apes given experimental covid vaccine after becoming infected at us zoo - 	0.2263	Positive
vaccine today in kilburn parkvacitaxi#londonfirebrigade #nhs #lifeinkilburn #covid19 #kilburn 	0.0	Neutral
myself and the hubby had our first #covidvaccination today and so far we are a ok. #astrazeneca #covid19 #covid19vaccine 	0.296	Positive
i’d prefer to have a bit of short term discomfort from the vaccine than the potentially fatal impact… 	-0.743	Negative
just had my vaccine don’t listen to the doubters. we can help our nhs, protect our loved ones and see normality… 	0.7845	Positive
been feeling rough since i woke up... guessing it's #covid19 vaccine side effects...sore arm where needle went in,… 	0.128	Positive
“the bbc have created a coronavirus vaccine...” oh hang on... #misread 	0.25	Positive
only i could get covid-19 vaccine 10 days ago &amp; end up with a cold from hell. lungs on fire when coughing, if it ge… 	-0.7906	Negative
#thread #covid19 #vaccine 	0.0	Neutral
covid19 is real. don’t be complacent because you’ve had the vaccine. my best friend; has had her vaccine &amp; been fol… 	0.7964	Positive
at last. just been able to book my appointments to have the covid-19 vaccine. 	0.0	Neutral
is this not same vaccine that was administered to jubril al sudani? 🤣 	0.0	Neutral
as long as scotland gets covid19 vaccine it is unimportant whether vaccine obtained through eu, uk or independently… 	-0.3182	Negative
‼️⚠️please retweet⚠️‼️donate now and help deliver 2 billion vaccines to the most vulnerable around the world.… 	0.1298	Positive
coronavirus vaccine invites rolled out for 56-59 age group 	0.0	Neutral
i will be, going for my coronavirus vaccine on friday. 	0.0	Neutral
fantastic  sad anyone had to die from the date of the vaccine coming out. i thought if you can make a v… 	-0.5267	Negative
iran bans import of uk and us covid-19 vaccines, saying they're 'completely untrustworthy': khamenei also tweeted t… 	0.0	Neutral
this will be longstaff getting his vaccine, his scream nearly got smith rowe sent off. good use of var for once 	0.0516	Positive
a really interesting thread about how the #covid19 vaccine works. 	0.4576	Positive
another interesting explanation about how the #covid19 vaccine works to help understand the mind blowing science in… 	0.6597	Positive
this is dangerous. articles like this could create a situation where people refuse other vaccines as they may belie… 	-0.1779	Negative
my wife had the pfizer #covid19 #vaccine. it’s a no-brainer if you get the chance. yes, there is a tiny risk but th… 	0.2023	Positive
i swear to god, if one more journalist asks if the vaccine will work the new variant of covid19... 	0.2263	Positive
the queen and prince philip have received the covid-19 vaccine 	0.0	Neutral
#vaccine 	0.0	Neutral
got my first dose of #covid19 vaccine today  #mycovidvax  #thisisourshot #oxfordvaccine #wearmasks… 	0.0	Neutral
the queen and prince philip receive covid-19 vaccine via 	0.0	Neutral
wales has delivered less than a fifth of its 270,000 coronavirus vaccine doses 	0.0	Neutral
are any other gps using #mapping software to aid planning their housebound patients’ #covidvaccine? we… 	0.0	Neutral
uk records 1,035 new covid-19 deaths on saturday #coronavirus #covid19 #covid19vaccine 	0.0	Neutral
cyprus asks israel for covid-19 vaccines #cyprus #coronavirus #cypruscoronavirus #covid19… 	0.0	Neutral
covid-19 vaccine inspiration🦠day 3:  our powell ward administrator taking the vaccine has enabled… 	0.0	Neutral
if you need a reason to get the #covid19uk vaccine then let free chocolate after be it! #savethenhs #covid19 	0.5562	Positive
should people working hands-on in the justice system be fast tracked up the vaccine distribution list? (the answer… 	0.5267	Positive
first dose of my pfizer/biontech covid19 vaccine received.  felt really quite emotional in a good way, it’s the beg… 	0.6525	Positive
every adult will be offered a coronavirus vaccine by the autumn, says health secretary hancockautumn! autumn! bru… 	0.0	Neutral
via  - the’ve set up a #covid19 #vaccine tracker page, with narrative before the graphs...#digitalhealth… 	0.0	Neutral
“be part of the solution” our daily covid 19 vaccine inspiration🦠 from our wonderful powell ward administrator… 	0.5719	Positive
why are you ignoring medical advice about biotech/pfizer vaccine? it should be 21 days between doses not 12 weeks. 	-0.4019	Negative
i’m in the queue for the vaccine!! #covid19 	0.0	Neutral
brilliant thread on how mrna covid-19 vaccines work. 	0.5859	Positive
twitter deletes iran's top leader tweet criticizing us, uk covid-19 vaccines: “given our experience with france's h… 	-0.1779	Negative
every adult is expected to have been offered the coronavirus vaccine by autumn, health secretary matt hancock has s… 	0.0	Neutral
pfizer covid19 vaccine ✅. family &amp; patients protected ✅.i was ‘jabbed by  medical director john oxtoby, ceo… 	0.4404	Positive
i’ve had the vaccine!! thank you very much  🥳🥳🥳🥳 #covid19 #covid19uk 	0.4738	Positive
no #vaccines have yet been offered to the staff who are dealing with #covid19 patients on the frontline!!! why not!… 	-0.5216	Negative
brian cox explaining how investing in an expert knowledge base importantly paved the way for the vaccine  inventio… 	0.3182	Positive
vaccine within 10 miles epsom or birmingham for neighbour 86 year old in bath barmy 	-0.3818	Negative
so why not vaccine health care workers asap : - 	-0.3875	Negative
the uk has managed to produced an even worse vaccine dashboard than italy. that's quite an achievement. 	-0.4767	Negative
_fall always have done, always will i'm afraid.my more unqualified hope is that these newly developed vaccine… 	0.4902	Positive
yesterday my grandad had his second #covid19 vaccine - he said his arm felt a little heavy and he’s been slight nau… 	0.0	Neutral
i fear the uk will start slipping down this list unless we get our act together #vaccination #vaccine #covid19 	-0.4939	Negative
search for better #covid19 vaccines confounded by existing rollouts  as placebo-controlled t… 	0.4404	Positive
we have more and more demand for nurses and healthcare assistants, to deliver covid-19 testing and vaccines across… 	-0.2632	Negative
i'm asking big pharma to share their vaccines with the world in the #covid19 emergencylift the patents, share the… 	0.5267	Positive
_oxford my in laws, both in their 80s have had both parts of their covid-19 vaccines. the last one was on fr… 	0.0	Neutral
getting the covid19 vaccine to you takes a team effort:project managersadmin staffpharmacistspharmacy technici… 	0.0	Neutral
i am vegan, i am a nurse, i have had the vaccine &amp; can only reiterate from my job as a nurse this shit is real &amp; th… 	-0.6428	Negative
what do you think is in the covid-19 vaccine? a bit of mould won’t hurt ya 	-0.5267	Negative
no point pondering the past we now have an effective vaccine! 	0.2942	Positive
#southkorea calls for caution on astrazeneca’s covid-19 vaccine for elderly 	0.0	Neutral
oh no not another vaccine or even a cure 	-0.296	Negative
spread positivity‼️ covid-19 vaccine footage.#goldheadmovies #covidvaccine #bepositive #followmeplease @ sheffield 	0.0	Neutral
beware fake nhs emails from vaccine scammers: 	-0.4767	Negative
as the vaccine programme opens up to additional, larger groups in the weeks ahead, we need to use every available r… 	0.0	Neutral
astrazeneca applies for #japan approval of covid-19 vaccine, second after pfizer treatment 	0.4767	Positive
dispelling myths about the vaccine and exploring why black people have been disproportionately affected by #covid19… 	-0.1531	Negative
really helpful info on vaccines here 	0.4754	Positive
An irresponsible theory: A single dose of vaccine could be enough for those who have already exceeded Covid19 	-0.4404	Negative
happy to say that my mother and mother-in-law have both had their first vaccine jabs.  neither have exploded, gone… 	0.5719	Positive
huzzah! i've just had my vaccine. now where's the darkweb site that my bill gates nanites track me on? i want to se… 	0.1511	Positive
#Covax publishes its first vaccine distribution list against # Covid19 	0.0	Neutral
uk trial explores impact of combining different covid-19 vaccines: for many diseases, such as hiv, tb and malaria,… 	0.0	Neutral
agree go to the people who need the vaccine as often they have no cars, don’t watch bbc news and are frightened 	-0.3818	Negative
liverpool gps find creative ways of closing the covid-19 vaccine race gap. 	0.4404	Positive
i can feel the desire for windows 3.1 almost immediately.#coronavirus #vaccine @ lord's cricket ground 	0.4019	Positive
jesus christ. the uk govt was a disaster when it came to containing the virus etc but when it comes to the vaccine… 	-0.3716	Negative
absolutely- taking vaccines to our communities &amp; seeking support from community members &amp; leaders to be involved in… 	0.4019	Positive
need to understand vaccineswhen they state vaccine is 67% effective after three weeks means after 3 weeks if a hu… 	0.4767	Positive
bravo  for promoting covid-19 vaccine trials and body positivity too! 	0.7263	Positive
"in a ""pivotal step,"" johnson &amp; johnson asks for emergency use approval for covid-19 vaccine "	0.128	Positive
please rt - beware fake nhs emails from vaccine scammers: 	-0.2023	Negative
happy friday ana...my parents who are both over 70 received their first dose of the covid19 vaccine yesterday 	0.5719	Positive
it took nine years to develop the polio vaccineit took nine months to develop the covid19 vaccine. this is truly amazing 	0.7717	Positive
come on fella - front line officers and front line emergency workers need this vaccine as soon as possible… 	-0.3818	Negative
right or wrong this will become a world wide thing... you won’t be forced to have the vaccine, but you be holidayi… 	-0.4678	Negative
covid-19 policy descends into shambles as no10 changes line on vaccine plan twice in minutes 	0.0	Neutral
12 months ago did anyone think we would have a vaccine, and have given it to 11 million people in the uk?well don… 	0.0	Neutral
glad we can be apart of getting back to normality, was lovely meeting you. #covid  #getyourvaccine 	0.7783	Positive
and can tick off first vaccine...  barely sore, lovely vaccinating team at nhs a&amp;a! my plead to everyone, when you… 	0.3832	Positive
#covidvaccine update. 	0.0	Neutral
#vaccinepassport if we want real equality in this nation, how about locking down the airports until every single br… 	0.0772	Positive
they are front &amp; centre in the #covid19 response... but #vaccine rollout?! no... 	0.0	Neutral
seriously, stop calling essential already stretched services about the vaccine. you’ll get a letter and/or call fro… 	-0.4404	Negative
its happy friday and tomorrow will be happy saturday as my mum had her covid-19 vaccine today and my wife has her v… 	0.8126	Positive
petition: do not rollout covid-19 vaccine passports  i have signed.  please sign and retweet… 	0.3182	Positive
better if it was made clear the vaccine takes three weeks to work and if the first dose is 67% effective then if 10… 	0.8225	Positive
the vaccine is our step to getting back to a new normal. proud to be part of this journey supporting all com… 	0.7184	Positive
just heard i’m going to get my #covid19 vaccine ‘by may’. as ever _may is doing her bit and i will be honou… 	0.0	Neutral
let’s keep after it. 🤞my 66 year-old mom will soon get her vaccine. 	0.0	Neutral
1 in 6 people in the uk had first vaccine in the space 2 months. can’t help but start to get excited at what the ne… 	0.6059	Positive
i think i’ve got it figured. somebody created #covid19 to get rid of the 58% then someone else created a vaccine to… 	0.4588	Positive
just an annoying little prick, said the covid-19 vaccine... 	-0.5868	Negative
and yet it’s the anti-baxter’s that are all over social media warping peoples brains. #vaccine #vaccination… 	0.0	Neutral
🦠vaccine update: over 90% uptake in top priority groups in #liverpool is fantastic. if you have been offered the va… 	0.6597	Positive
"will non #eu vaccine be appropriate for #vaccinepassports programme? 🤔""eu leaders expect vaccine certi… "	0.0	Neutral
‘vaccine is free’ remind police  #police #vaccine #covid19 #crime 	0.0	Neutral
amid all the doom and gloom, here are '3 facts about #covid19 #vaccines to brighten up your day', quick read from e… 	-0.5267	Negative
the eu inches towards a health visa / vaccine passport, as predicted and expected (duh, this was logical since marc… 	0.0	Neutral
covid deaths fall 30% in a week! is it because of the vaccines? #coronavirusupdates#coronavirus#covid_19… 	0.0	Neutral
#eastleigh #covid #covid19 #vaccine #news  i finally got the #phonecall from #dr #drs #nurse to have my… 	0.0	Neutral
remarkable! with the arrival of the #covid19vaccine in nigeria, it is now imperative more than ever for everyone to… 	0.5983	Positive
2nd vaccine in! ☺ what a great service down at the fiona elcock centre - all so friendly &amp; well organised. a great… 	0.8973	Positive
israel to discuss covid-19 vaccine venture with austria, denmark, netanyahu says 	0.0	Neutral
brilliant doctor being interviewed by _montague #bbcwato on vaccine take up. a tiny, tiny proportion can't ha… 	0.5859	Positive
been saying it all along , media’s scaremongering is criminal , 4mins since chief of oxford vaccine said we need to… 	-0.5267	Negative
hi  will these tribes actually recognize the concept of coronavirus and concept of a vaccine? could i… 	0.0	Neutral
looks like i’m getting the covid19 vaccine next tuesday  feel bad as there’s older people that need it more but what can you do 🤷‍♀️🦠 	-0.128	Negative
#covid19: how would an #nhs #vaccinepassport app work? - bbc news 	0.0	Neutral
very interesting article noting vaccine inequality and ways of combating it. this is a pandemic from a virus that i… 	0.4576	Positive
relief!we’ve had confirmation my learning disabled brother has, this afternoon, received his vaccine against… 	0.0	Neutral
“vaccines alone won’t stop the disease, vaccinated people will” 	-0.4939	Negative
twitter about to ban those who are sharing vaccine and coronavirus misinformation?me hitting that report button: 	-0.2023	Negative
'catalogue of incompetence!' mep urges eu nations to join anti-brussels vaccine revolt 	0.3595	Positive
#covid19vaccine ........ 	0.0	Neutral
first covid-19 vaccine done.thought it was a well organised hassle free process. 	0.6597	Positive
#facilitiessth covid-19 vaccine rollout continues... animation (in different languages) – access on youtube… 	0.0	Neutral
vaccine hesitancy is even greater challenge for curbing #covid19 in india than mask reluctance. it's stoked up by i… 	-0.128	Negative
still feeling hesitant about getting the #covid19 #vaccine here is some myth-busting! 	-0.2003	Negative
"great to see second dose vaccinees picking up again - see latest charts &amp; data for ""people who have received vaccin… "	0.6249	Positive
~  approve 1 -2 days paid leave to recover from side-effects of covid-19 vaccine. encourage take-up fro… 	0.4767	Positive
is it true in america they have a wait list for people who don't turn up for covid-19 vaccine... if so come on uk g… 	0.4215	Positive
always felt the j and j (janssen) vaccine would be the game changer. joe agrees. 	0.2023	Positive
"""biden says the us will have enough covid-19 vaccine supply for every american by the end of may"" "	0.0	Neutral
i mean they’re forced to take a whole bunch of other vaccines so this seems like a very obvious step. 	-0.0609	Negative
unjust!petition: do not rollout covid-19 vaccine passports 	0.0	Neutral
there have been 3 major #covid variants given high profile... u.k., south africa and brazil.where was the vaccine… 	0.0	Neutral
the vaccinations for covid-19 have begun. when i’m offered the vaccine, i’ll get it. #wearescotland 	0.0	Neutral
ctv news: a look at the mixed messages and confusion surrounding the oxford-astrazeneca vaccine. 	-0.296	Negative
the 3 unsung heroes of the coronavirus pandemic. 1. private healthcare companies for developing the vaccine in re… 	0.5106	Positive
today i got my #seconddose of the #covid19vaccine, thanks to a pain-free injection by emma. the clinic was busy, bu… 	0.4404	Positive
so heartwarming  there is light ... ☀️ #vaccine #covid19 #volunteers 	0.5256	Positive
covid-19 misinformation: scientists create a 'psychological vaccine' to protect against fake news… 	-0.1779	Negative
vaccine roll-out set to prioritise teachers, police and frontline workers to cut transmission 	-0.2732	Negative
thank goodness for the presence of vaccines. it will all be over soon  #coronavirus 	0.6705	Positive
shouldn't the  #covid19 test registration site now ask if you have had the vaccine, when and type. in that way it c… 	0.0	Neutral
this is why it should be left to those capable of delivering the vaccine without making a mockery of it#teamgp 	0.5517	Positive
96 &amp; sadly her covid vaccine arrived 2 days after she died from covid 	-0.7506	Negative
worse death rate in europe from coronavirus, vaccine not getting through, still in lockdown, but wait!!!!  jimmy ch… 	-0.6876	Negative
so supply is drying up of the vaccine  and ruth davidson was moaning about scot gov stockpiling.  watch for her nex… 	-0.1027	Negative
having messed up everything #covid19, #vaccination even more critical.possibly less #pfizervaccine- dont even think… 	-0.34	Negative
getting a vaccine still doesn't prevent one getting covid 19 and one still has to wear a mask true or false? 	0.4071	Positive
well good to see that the racecourse owners have got their priorities right...... #vaccine 	0.6124	Positive
this is so sad. doris was eligible for a vaccine at 96. sending love to her sister and family. 	0.0538	Positive
sobering news. but all experts seem agreed that everyone should definitely still accept the vaccine. the idea seems… 	0.8481	Positive
mum and dad are getting their first #vaccine jab today. i’ve had #covid19 and have some immunity (?). does this mea… 	0.0	Neutral
#covidvaccine #covid19 	0.0	Neutral
had my first pfizer covid-19 vaccine today. or, 'gene therapy' as ian brown likes to call it. as long as i don't st… 	0.4215	Positive
commercial in ireland in the street against mask, vaccines and test . #dw24news #uk #health #vaccine #test #covid19… 	0.0	Neutral
belgium and other eu countries seeking a cheaper covid-19 vaccines from india, as the deal struck between eu commis… 	-0.25	Negative
though this wouldn't come as a shock. a vaccine when prepared is against the whole virus, there are various protein… 	0.4738	Positive
help deliver 2 billion covid-19 vaccines for health workers around the world. donate today! 	0.4574	Positive
omg. at what cost?  we would potentially have no vaccines as we couldn't afford to invest in their development or p… 	-0.296	Negative
nurses, no guinea pigs! 87,000 healthcare workers in netherlands refuse covid-19 vaccine. maybe our corrupt governm… 	-0.5707	Negative
pope asks for 25 homeless people sheltered by his personal charitable operation to get vaccine. 	0.4019	Positive
looks like our government is blundering yet again.... the vaccines aren't that effective after only one dose, so wh… 	-0.0139	Negative
china’s covid-19 vaccine makers seek to team up for covax scheme 	0.0	Neutral
