Tweets	Compound	Analysis
i felt like shite for 24 hours after my first vaccine dose, 6 weeks post-covid infection. 	0.3612	Positive
great work  team molly (mollison way surgery) #hive #covidvaccine . thank you for your dedication com… 	0.765	Positive
fuck you boris johnson, you’re the absolute c*nt who forced people like sir tom to actually have to raise funds for… 	-0.6124	Negative
 apparently unpaid carers are in group 6 to get the vaccine.	0.0	Neutral
doing my part for the community in getting the covid-19 vaccine out there! #haulinghope   	0.0	Neutral
 end of pandemic close as vaccination rolled out. #covid19 vaccines:good efficacy in preventing severe… 	-0.0258	Negative
 oxford vaccine looks to be a game changer.a single dose of chadox1 is 76% efficacy &amp; protection ~90… 	0.0	Neutral
very good news on 3 month dosing interval with oxford/astrazeneca vaccine. take note  	0.4927	Positive
the phase 3 russian covid-19 vaccine trial results with a double dose. with more vaccines like this soon to be avai… 	0.4173	Positive
unfortunately #covid19  has caught up with me been isolating for 4 days now.mum &amp; dad got the vaccine last week and… 	-0.34	Negative
if you have had the #pfizer vaccination, join this facebook group. i’m interested to hear peoples experiences :)… 	0.5994	Positive
experts call for care home residents to get second vaccine dose faster after outbreaks 	0.4939	Positive
 so, you think it’s acceptable for the eu to block shipments of the covid19 vaccine?	-0.1531	Negative
 #vaccines #covid19	0.0	Neutral
no jab, no hajj #covid  	-0.5267	Negative
morning everyone hope your all safe and well . this morning i'm off to have my covid-19 jab .	0.7845	Positive
chilren return 2 school n opt out of #covid19 lateral flow test! maye they should have the jab like adults! if its… 	0.4738	Positive
petition: do not rollout covid-19 vaccine passports 	0.0	Neutral
johnson misleads parliament...'well that's just boris isn't it'  the commentators will say.hancock breaks the law.… 	0.0	Neutral
got a covid vaccine today.second injection will be 10 weeks later.feeling same as normal at the moment. hope eve… 	0.4404	Positive
vaccine nationalism 🤌🤌 	0.0	Neutral
 agree wholeheartedly #covid19 vaccines still being tested. same with all drugs all the time. nature of t… 	0.3612	Positive
a crowd gathers to celebrate the roll out of covid vaccine.you can't make this up. 	0.5719	Positive
proud of my friend and  dudley cllr  getting his #covid19 vaccine. when it’s your turn please… 	0.743	Positive
talking of covid19 vaccine within the bame community. 	0.0	Neutral
"seeing breaking news on  that ""dr cyprian ngon becomes first nigerian to receive to oxford-astrazeneca c… "	0.0	Neutral
personnel from joint military command wales continue to support the vaccine roll out across the country. see this r… 	0.4019	Positive
a big thank you to our vaccine clinic heroes who are providing hope for our future ❤🧡 the llanharry surgery is r… 	0.8271	Positive
i’m proud to have joined 150 black, asian and ethnic minority councillors cross party in the #covid19 vaccine campa… 	0.7003	Positive
glorious location for a vaccine!!!!!! so. excited. east greenwich and charlton storming ahead - queue 75% 30-50 yea… 	0.8585	Positive
the eurozone is heading for a double-dip recession as the slow rollout of covid-19 vaccines prolongs economic miser… 	-0.4215	Negative
re vaccine damage payments: you will most probably have to engage lawyers to fight for any one off payment so by t… 	-0.5267	Negative
 researchers report that deaths from covid vaccine for israel’s elderly is 40 times greater than deaths from… 	0.3612	Positive
 truth &amp; journalism 🥴researchers report that deaths from covid vaccine for israel’s elderly is 40 times g… 	0.3182	Positive
 you call this journalismresearchers report that deaths from covid vaccine for israel’s elderly is 40… 	0.0	Neutral
 researchers report that deaths from covid vaccine for israel’s elderly is 40 times greater than deat… 	0.3612	Positive
do the vaccines react badly to xolair injections/people with autoimmune diseases? i haven't been able to find that out #covid19	-0.4767	Negative
will be a double celebration 🥳 letter received and booked in for the #vaccine #covid19 ❤️ 	0.0	Neutral
 nothing good is ever written about the precautionary principle. we are solving covid19 with vaccine… 	-0.0015	Negative
i've not long had my covid19 jab! it didn't hurt but i'm expecting side effects at some point... like everyone i ha… 	0.663	Positive
"elderly? it's not only the ""elderly"" with two jabs by then - nhs staff; porters, cleaners, nurses, gps, reception s… "	0.0	Neutral
hows an ape gonna get the vaccine before me 	0.0	Neutral
nigeria begins covid19 vaccination as health workers take the first shots in abuja 	0.0	Neutral
i’m absolutely petrified of needles/injections (annoying phobia i have) but i still got my covid-19 vaccine done! … 	-0.5406	Negative
calm before the storm. another 400 vaccinated today #vaccine #covid19 	0.3182	Positive
 #aneurinbevan created using #covid19 #vaccine packaging  i teamed up with  (wales’ largest… 	0.25	Positive
had the second jab so all is ok 	0.3535	Positive
appropriately enough i got the oxford one. pleased to have my first shot in the arm...#covid19 #coronavirus… 	0.4404	Positive
single-dose oxford–astrazeneca covid-19 vaccine followed by a 12-week booster - the lancet 	0.0	Neutral
getting my first covid-19 vaccine dose tomorrow 🦠	0.0	Neutral
we’ve certainly bar israel turned into the world leader on vaccinating and vaccines generally. something we should… 	0.34	Positive
#covid19 contemptuous of science and concerns of parents, #johnson reopens state schools tomorrow. stage 1 of his m… 	-0.4939	Negative
join cllr dr becky cooper’s q&amp;a re  #covid19  #worthing vaccine q and a highlights  via 	0.296	Positive
nope, they've had their first jab. 	0.0	Neutral
   researchers report that deaths from covid vaccine for israel’s elderly is… 	0.0	Neutral
public stakeholder meeting: approval, safety monitoring and impact of covid-19 vaccines in the eu | european medici… 	0.7096	Positive
a big thankyou  to the nhs for giving me the first stage coronavirus vaccine  today! as sir billy connolly said..’ a wee jab nae problem!’	0.4559	Positive
#covid19 not a pay rise, a provocation. #johnson said he couldn’t find words to express his gratitude when #nhs sav… 	0.5568	Positive
covid-19 vaccine clinic at spotland methodist church this wednesday, 1pm to 3pm. for anyone aged 65+ or 18-64 wit… 	0.0	Neutral
i'd prefer at least a preprint but, as leaks go, this is pretty welcome - oxford study indicates astrazeneca effect… 	0.8519	Positive
#covid19 #vaccine 	0.0	Neutral
shock fucking horror. johnson is a liar, who knew. 	-0.8718	Negative
bravo and thank you to this amazing woman and her pioneering colleagues who work on the #covid vaccines. today my b… 	0.7906	Positive
 ⓢⓚⓨ ⓣⓔⓒⓗ great apes given experimental covid vaccine after becoming infected at us zoo - 	0.2263	Positive
a win win situation for uk and india partnership in covid-19 vaccine.vaccine developed by oxford-az and manufactu… 	0.8225	Positive
#medicaltweetoftheday  #gmb  #eastleigh #vaccine #covid19 #healing #survival… 	0.0	Neutral
 still not turned into a zombie guy, but i can honestly say the vaccine as made me feel a lot worse… 	0.6124	Positive
eu leaders agree to ease covid19 restrictions #ipaper isn't this a bit early considering their poor vaccine progres… 	0.2263	Positive
i have had my jab... and as i have traveled a bit i’ve had rabies, hepatitis and malaria  vaccinations to visit var… 	0.0	Neutral
me tomorrow after my second dose #covidvaccine #bhangra 	0.0	Neutral
a universal coronavirus vaccine could stop the next pandemic 	-0.296	Negative
proud to be part of #teamdudley #dudleytiliidie #covid19 #covidvaccine  	0.4767	Positive
tony blair thinks he is an expert on everything. he isn't qualified to comment on vaccines 	0.0	Neutral
no grammar expert but wouldn't an oxford comma have helped here? the three covid-19 vaccines are from pfizer-bionte… 	-0.1531	Negative
#covid19: we 'flex' muscles, not rules, but #matthancockmp wouldn't know that because he's an effing bot.   #johnsononabike. #r4today	0.0	Neutral
i have a 94 yr old constituent in #bromfordandhodgehill who suffers from copd still awaiting the #covid19 vaccine… 	-0.4767	Negative
matt hancock says 2.6 million covid-19 vaccine doses have been given to 2.3 million people in the uk  	0.0	Neutral
algeria, palestine greenlight russia’s coronavirus vaccine 	0.0	Neutral
congratulations again to martin sutcliffe and team at alwoodley medical centre. ~1,200 #covid19 vaccines delivered… 	0.5994	Positive
covid-19 vaccines to be administered at disneyland, orange county's first 'super' distribution site 	0.0	Neutral
new: uk boss of london  police, cressida dick, refuses to comment on prime minister boris johnson's all… 	-0.5106	Negative
um, i’d gladly have the vaccine at any time of the day or night thank you. 	0.5994	Positive
no 10 defends stanley johnson receiving two coronavirus vaccines while others don't 	-0.296	Negative
is this a fair vaccination roll out?the number of people who have received the first dose of a covid-19 vaccine be… 	0.3818	Positive
few tories more appalling, ignorant and idiotic than johnson. but baker is one of them. 	-0.5975	Negative
quite shocking developmentall those asking government to roll vaccines out more quickly may need to think again  	-0.4576	Negative
 carried the first indian  vaccines from  to  this morning, on one of its… 	0.0	Neutral
please be careful about scams happening around the coronavirus vaccine. the nhs will never ask for your bank detail… 	-0.2263	Negative
good news just flew in! the first batch of #covid19 🦠vaccines reached #delhiairport today. their cargo terminal ef… 	0.5562	Positive
brexiteers...government considering offering covid jab 24/7. all i can say is...bring it… 	0.0	Neutral
fe and education sector response to the covid-19 vaccine delivery plan: the government has launched the vaccine del… 	0.128	Positive
 ..are peoole missing out on vaccine letters in enfield ...see below 	-0.296	Negative
as _uk explains below, the #vaccine isn't 100% effective, so even if people are vaccinated they must still foll… 	-0.3724	Negative
just had covid-19 vaccine.  by the end of the day most of the team will have received theirs. brilliantly organised… 	0.6124	Positive
vaccine number update for europe. #covidvaccination #covid19 #vaccinations 	0.0772	Positive
don’t fall prey to scammers. the #covid19 vaccine is free! there are scams about asking for your bank details. my n… 	-0.2003	Negative
#vaccine for #covid19 all done 🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗 	0.0	Neutral
brilliant news. further #vaccination rollout across #leeds. #covid19 #covidvaccination #covidvaccine 	0.5859	Positive
mum's had the oxford #coronavirus #vaccine  this morning. dad had the other one and his 2nd jab so there both covered as long as it works	0.0	Neutral
vaccine update - 48 hours post jab and the sore arm and headache have gone. feeling fit. almost forgot i’d had it t… 	0.128	Positive
#vaccine #covid19 #covid19uk 	0.0	Neutral
what percentage of these cases have had the vaccine if any? 🤔 	0.0	Neutral
some good news to share for a change.... #vaccineuk #covidvaccination #covid19 	0.6249	Positive
#liarjohnson is a #hypocrite#bikegate#staylocal#covid19	0.0	Neutral
#covidvaccination #covid19 #pfizer #frontlineworkers #icu incredibly thankful for receiving the vaccine that will s… 	0.6115	Positive
after covid-19 success, moderna is going after an hiv vaccine: vaccines using mrna have potential uses far beyond i… 	0.5719	Positive
 got to  book a coronavirus vaccine. if you are over 80 you can book it yourself. just done it for mil.	0.0	Neutral
 guy who refuses a covid-19 vaccine because they're suicidal	-0.6705	Negative
i think i know where i’ll be asking to have my jab 	0.0	Neutral
david attenborough receives coronavirus #vaccine 	0.0	Neutral
our armed forces are doing important work to support the vaccine rollout. but average number of weekly #coronavirus… 	0.4019	Positive
#covid19 vaccination doses administered per 100 peopleseveral lessons - u.k.’s top level vaccine research capab… 	0.2023	Positive
12,828 people in the cwm taf morgannwg uhb area have now received a covid-19 vaccine, the health board has confirme… 	0.0	Neutral
dominic raab: provide palestine with covid-19 vaccine - sign the petition!  via 	0.0	Neutral
wonder what’s made pfizer more money this year; the covid-19 vaccine or sertraline 	0.0	Neutral
each missing sticker is a vaccine dose administered. each one a step towards safety … 	0.1531	Positive
haha always like russell howard's take on things. this one is about covid19 vaccine.	0.6705	Positive
israel keeps coronavirus vaccine from people in palestine  via 	0.0	Neutral
a very striking image. over 2.6 million doses of the covid-19 vaccine have been given to 2.3 million people – more… 	0.0	Neutral
great shot! worrying for residents of henley though! 	0.508	Positive
world-leading… but if the rest of the world does not vaccinate, uk will important future virus variants the vaccine… 	0.296	Positive
will the u.turn on the pfizer biotech jab, be a fatal u turn. vulnerable people have received that jab and were tol… 	-0.6597	Negative
why should david attenborough get the vaccine before more deserving cases?  disgusting of him #coronavirus	-0.5667	Negative
can we get you back as pm asap please! it’s the great misfortune of the uk and the us that we’ve had johnson and tr… 	0.7712	Positive
#covid19 my 2nd pfizer jab administered 9 jan by local surgery. all calm efficiency. no side effects. cannot thank… 	0.3818	Positive
rte news : first delivery of moderna vaccine arrives in ireland	0.0	Neutral
one of them is named boris johnson 	0.0	Neutral
yay! i have an appointment for a covid-19 vaccine for this thursday 	0.5707	Positive
my sister got her covid-19 vaccine today 🥰🥰 #nhsworker	0.0	Neutral
excellent work _nurse_hannah! doing  proud!#nursing #covidvaccination #oxfordvaccine #nhsblueheart 	0.6467	Positive
did isabel oakeshott get an e in a’level history? 	0.0	Neutral
can employers force their employees to have the #covid19vaccine article by david shepard 	0.0	Neutral
how the rollout of covid-19 vaccines could help—and hurt—the u.s. housing market #realestate #vaccine 	0.0	Neutral
hopefully we will get vaccines for frontline refuge and homelessness service workers soon _mc_cusker… 	0.4019	Positive
pfizer/biontech covid-19 vaccine +ve. thanks to meta-efficient  vaccination hub  	0.4404	Positive
feel privileged to have received my first dose of the #pfizerbiontech covid-19 vaccination at the very efficient… 	0.4404	Positive
 there is only two things certain with #covid19 1- horrific no of deaths and 2 a suitable vaccine to sa… 	-0.6705	Negative
  #gpisopen #gpcovidjabs 	0.0	Neutral
sir prince charles to copy queen elizabeth ii and confirm when he has had covid-19 vaccine - express… 	0.0	Neutral
 all these people refusing to believe in the vaccine or covid-19 itself should be made to go and work… 	-0.4019	Negative
i have a v.unwell covid patientunder 50 bame hcwtested positive 3 days post 2nd pfizer covid vaccination… 	0.5574	Positive
 yes, but they are time travellers and got the covid-19 vaccine in 2024 and came back to save the bbc.	0.7311	Positive
sir david attenborough receives covid-19 vaccine 	0.0	Neutral
any chance of a 24/7 vaccine site here? you’re having a laugh. 	0.6808	Positive
potentially huge news for ms sufferers around the world. and an early example of how the new vaccine technology cou… 	-0.2732	Negative
first dose of covid19 vaccine ✅ 	0.0	Neutral
oh, aye. rough sleepers’ll be getting the cambridge vaccine. 	0.0	Neutral
petition: after the vaccine roll-out to high risk groups, remove all covid-19 restrictions 	-0.2732	Negative
fucking lock the country down properly then. completely shut everything. with the vaccines and complete lockdown. w… 	0.0	Neutral
our national treasure sir david attenborough receives covid-19 vaccine 	0.296	Positive
two nhs workers suffer allergic reaction to pfizer vaccine!!  via 	-0.7418	Negative
phew..... sir david attenborough receives covid-19 vaccine	0.0	Neutral
those of you debating between mrna #covid19 or adenovirus dna vaccines:• #moderna 1 dose efficacy &gt;90% after 14 da… 	0.0	Neutral
 well thank goodness a safe vaccine is now being administered. i’ve heard from family whom are quality… 	0.8591	Positive
it's coming folks #vaccinepassport  	0.0	Neutral
fuck off ... give vaccines away once our life’s are normal again and not the new normal pre covid normal 	-0.5423	Negative
vaccine minister is waffling and talking rubbish#ridge#covid19	0.0	Neutral
meanwhile tory  has photo op getting vaccine as red cross volunteer? 	0.0	Neutral
on the need for an autumn vaccine booster, vaccines rollout minister,  tells  that he is “pla… 	0.0	Neutral
on a vaccine passport, vaccine rollout minister  tells  that the government has “no plans” to… 	0.0	Neutral
#covid19 #covidvaccine #pandemic        … 	0.0	Neutral
    pfizer is mrna and approved by the fda 	0.4215	Positive
details of adverse reactions and death from the pfizer and moderna vaccines and the astra zeneca. worth reading thr… 	-0.6705	Negative
are you in a priority group for uk covid jab, just waiting for letter/text? with your nhs number, this site lets yo… 	0.0772	Positive
just how effective is the oxford coronavirus vaccine for the over-65s? | david spiegelhalter and anthony masters… 	0.4767	Positive
el primero en decirlo fue boris johnson “no sirve de nada ser una isla vacuna cuando nuestros vecinos siguen sin va… 	-0.5574	Negative
are people with learning disabilities being forgotten about in the #coronavirus vaccine rollout?there are calls to… 	-0.2263	Negative
are people with learning disabilities being forgotten about in the #coronavirus vaccine rollout? there are calls t… 	-0.2263	Negative
mexico was the first country in latin america to receive covid-19 vaccines and started vaccinating health workers o… 	0.0	Neutral
my amazing boyfriend jay just got his covid19 jab so proud of you darling xxxxxxxxxx 	0.9116	Positive
so important to take the vaccine when offered it 	0.2716	Positive
new from #oxford: pre-print analysis shows its #vaccine provides minimal protection against mild-moderate #covid19… 	0.0	Neutral
so  says the uk will absolutely not be doing vaccine passports.so come may, i assume we'll doing vac… 	0.0	Neutral
do you trust the #covid19 vaccine?	0.5106	Positive
will you get the #covid19 vaccine?	0.0	Neutral
"even for rogan this is incredibly stupid. ""i think the vaccine is good for *some* people."" you just know that he an… "	-0.2006	Negative
covid-19 restrictions will not be scrapped when vaccine rollout complete, says deputy first minister 	0.0	Neutral
ok ok, we can accept he didn’t die of the #vaccine... but he did die with the vaccine right? #covidvaccination… 	-0.7003	Negative
took my mam for her covid-19 vaccine today. a smooth and seamless experience   	0.0	Neutral
obligatory rivelin valley shot....#yorkshire #sheffield #covid19 #coronavirus #bachelorlife #winter… 	0.0	Neutral
coronavirus doctor's diary: why are some of bradford's elderly refusing the vaccine? 	-0.4019	Negative
 nope not me banned from youtube: dr. simone gold shares the truth about the covid-19 vaccines 	0.341	Positive
interesting interview with  who procured uk covid-19 vaccine supply by italian &amp; german  magazines. ve… 	0.4019	Positive
more than 12 million people in uk have now had their first vaccine dose against coronavirus.. i am one of them 	0.0	Neutral
great to hear reasons to hope current vaccine programs may be able to stay ahead of mutations from this autumn onwa… 	0.7906	Positive
amazing work as the uk  rises to this huge logistical challenge. vaccine centres across #enfield are doing an ama… 	0.7734	Positive
absolutely amazing!! so proud of our nhs and all the volunteers involved in the vaccine rollout!!  	0.8905	Positive
 it seems there’s little correlation between ethnicity and a refusal to get the covid vaccine 	0.0	Neutral
"bbc ""oxford vaccine only has limited effect on new variant of coronavirus""so early studies have shown that it stil… "	-0.2263	Negative
ive just had my vaccine and all the women in the queue were called susan #covid19 #vaccine #susan #1950swomen 	0.0	Neutral
 the data so far is very promising. analyses of the #oxfordastrazeneca #vaccine have revealed single… 	0.4576	Positive
stop calling it the oxford/astrazeneca vaccine then. either, it is pfizer/biotech and astrazeneca, or mainz and oxf… 	-0.296	Negative
(lead) s. korea to receive 2.71 mln doses of covid-19 vaccines via covax in h1 	0.0	Neutral
 vaccine passports would be “discriminatory” and will not be introduced in the uk, the minister in… 	0.0	Neutral
great news - need to get this vaccine rollout everywhere. #astrazeneca #covidvaccine  	0.6249	Positive
useful and important resource to support engagement and partnership in our communities! #community #covidvaccine… 	0.8655	Positive
thank you to the scottish government for confirming that the vaccine is effectively useless. can we all just get on… 	0.3818	Positive
maybe this is where we are going wrong with those people who won’t have the vaccine. 	-0.4767	Negative
south africa stops the use of oxford-astrazeneca vaccine! why? the vaccine did not protect clinical-trial participa… 	-0.4724	Negative
shakin' stevens gets covid-19 vaccine at high wycombe's adams park 	0.0	Neutral
i’ve had the virus, i have antibodies, i get tested on a monthly basis. will i now have to have the vaccine to trav… 	0.0	Neutral
not a scientist either but the ones who made the vaccine and then the treatment stating saying 3 weeks were. i woul… 	0.0	Neutral
looking forward to busting all those covid19 vaccine myths _feelgood  	0.0	Neutral
 #southafrica stops the use of oxford vaccine! why? the vaccine did not protect clinical-trial participants f… 	-0.4724	Negative
"""the oxford-astrazeneca vaccine protects against the covid-19 variant first identified in the uk, a new study shows… "	0.3182	Positive
so look out for  not now referring to the vaccine by their own preferred name oxford but rather they’… 	0.0	Neutral
" _nhs i'm not surprised patronised to take an ""experimental"" so called vaccine banned from y… "	-0.6033	Negative
check out my review of the covid -19 vaccine. #coronavirus#pfizer #covidー19	0.0	Neutral
if you are eligible for those currently prioritised to be vaccinated, please use the website to book your vaccine!… 	0.3802	Positive
 please don’t lumber gp’s with additional work and stress when folks need proof of vaccine to travel a… 	-0.128	Negative
important caveat for all this south africa vaccine data:$jnj efficacy rate in sa pertains to prevention of “moder… 	0.2023	Positive
astrazeneca vaccine and south africa variant. another explanation for the efficacy. 	0.0	Neutral
south africa bins oxford vaccine#covid19  #covid_19  	0.0	Neutral
vaccine rollouts lay bare the middle east's deep inequalities	0.0	Neutral
pfizer is doubling its output of covid-19 vaccines 	0.0	Neutral
french figure rubbish. 56 % des français souhaitent se faire vacciner contre le coronavirus, selon un sondage oda… 	0.0	Neutral
we must not leave anyone out. cultural competence in covid-19 vaccine rollout 	0.0382	Positive
    if flu vaccines change each season, i’m presuming s… 	-0.3818	Negative
there is a real material risk with these mega sites too - what if they get oversupplied and then vaccine goes to wa… 	-0.2732	Negative
a well-informed illustrated thread about shots in the arm.  millions of them.  our route back.  if we’re a bit pati… 	0.0	Neutral
seeing so many tweets and posts about the #covid19 vaccine roll out- sure it’s not perfect but so many working so h… 	-0.0897	Negative
  hopefully not the pfizer vaccine 	0.4019	Positive
and another new venue for vaccines - ramping up across the county #lightattheendofthetunnel 	0.0	Neutral
 avoid pfizer vaccine 	-0.296	Negative
'..earlier on friday, azar told nbc news the us did not have a reserve stockpile of covid-19 vaccines.... ' “we n… 	0.0	Neutral
a colleague, whilst trying to report a case of anaphylaxis for a covid vaccine, discovered another reaction that pf… 	0.0	Neutral
with such a huge population india has its work cut out with their vaccine drive 	0.0516	Positive
this may come over as a daft question but can your first vaccine be say the pfizer vaccine and then your second one… 	0.0	Neutral
this is not a pleasurable tweet. #johnson hesitation along with a weak #williamson has caused huge damage and miser… 	-0.826	Negative
important new  guidelines published in relation to steroid injections and having the #covid19 vaccine of… 	0.2023	Positive
this is not fake news #covid19 jab side effects be careful folks norway adjusts advice after vaccine deaths but… 	0.486	Positive
sanitation worker gets first shot as india sets out on its covid-19 #vaccinationcampaign 	0.0	Neutral
very proud of the achievements of swagga primary care network this week... 2320 jabs safely administered in just 6… 	0.8687	Positive
almost 6 weeks since the first #covidvaccine was given in the uk and still waiting,saying as i'm a front line worke… 	0.0	Neutral
vaccine jab 1 today   #covid19 #wewillgetthroughthis #vaccinationcovid	0.0	Neutral
 amidst all the bull about we've done more vaccines than you. what about opening your mouth around th… 	0.0	Neutral
mind the gap between the #virus and the #vaccine please. #london #mindthegap #covid19    	0.3182	Positive
are they desperate for us to take the vaccine...5 covid-19 measures scientists want the government to implement… 	-0.25	Negative
this is why i am so scared of the vaccine.  i have noone i can talk too about it as i have a learning disability i… 	-0.5777	Negative
uk government: all pharmacies should to be able to play a part in the uk's covid-19 vaccine programme  via 	0.34	Positive
congratulations  on your selection to procure #covidvaccines for #ukraine. 	0.5994	Positive
a conceptual illustration for the covid-19 vaccines. #conceptualillustration #covid19vacccine… 	0.0	Neutral
my dad and his mum have both had the astrazenca covid-19 jab this morning   	0.0	Neutral
pretty simple really, #stayathome #stayhomesavelives #staysafe #covid19 #covidvaccine 	0.4939	Positive
